ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Azerbaijan,2020-03-16,"21","0","40639",47.53232681,40.2922195,Azerbaijan,阿塞拜疆,Azerbaïdjan,Azerbaiyán,Азербайджан,أذربيجان,bfbf2b92-68ac-490b-b875-adec98edecbd
Cameroon,2020-03-16,"5","0","40652",12.7432535,5.68580436,Cameroon,喀麦隆,Cameroun,Camerún,Камерун,الكاميرون,bc33f5ea-dfb4-4484-bd2c-aee9802d1e12
Finland,2020-03-16,"272","0","40675",26.2588423,64.49433129,Finland,芬兰,Finlande,Finlandia,Финляндия,فنلندا,3709cd75-a882-4d5d-b1a2-b1924c6ffd56
Lebanon,2020-03-16,"99","3","40710",35.88806123,33.92039304,Lebanon,黎巴嫩,Liban,Líbano,Ливан,لبنان,80be32d2-97a3-4661-8dd0-b370ac718e10
Israel,2020-03-16,"250","0","40700",34.96598271,31.35805652,Israel,以色列,Israël,Israel,Израиль,إسرائيل,dc08f496-2835-471e-82f4-b957fe84fe31
Senegal,2020-03-16,"26","0","40754",-14.46817708,14.36697954,Senegal,塞内加尔,Sénégal,Senegal,Сенегал,السنغال,d4ab7ca5-fe1b-46e1-be96-b96047d87609
Réunion,2020-03-16,"9","0","40744",55.53821274,-21.12162946,Réunion,,,,,,e0c4e615-5617-4ae0-9ef6-b96eefc8da3e
Saudi Arabia,2020-03-16,"133","0","40753",44.57044965,24.08088192,Saudi Arabia,沙特阿拉伯,Arabie saoudite,Arabia Saudita,Саудовская Аравия,المملكة العربية السعودية,0b9547f7-4bad-4980-9cf5-bb75d0ee88fa
Guernsey,2020-03-16,"1","0","40687",-2.57582282,49.4590463,Guernsey,Guernsey,,,,,7b6a0cde-3afe-4b73-9f26-bb8a80a86805
Occupied Palestinian Territory,2020-03-16,"39","0","40731",35.20376878,31.91395114,occupied Palestinian territory,occupied Palestinian territory,,,,,7b8e9b36-bab6-4ec7-975b-bd8839c3b814
Guatemala,2020-03-16,"1","1","40686",-90.3569493,15.7023026,Guatemala,危地马拉,Guatemala,Guatemala,Гватемала,غواتيمالا,2a916d63-e752-4991-bd16-c1059303b654
Republic of Moldova,2020-03-16,"23","0","40743",28.47434317,47.19332561,Republic of Moldova,摩尔多瓦共和国,République de Moldova,la República de Moldova,Республика Молдова, جمهورية مولدوفا,7b01c4bb-3cb4-4e2a-8ffe-c2232dca7a35
Iceland,2020-03-16,"161","0","40693",-18.6057026,64.99764998,Iceland,冰岛,Islande,Islandia,Исландия,آيسلندا,bf3465d8-739e-45fe-909a-c2a04dd8aece
Brunei Darussalam,2020-03-16,"50","0","40648",114.76132088,4.52147838,Brunei Darussalam,文莱达鲁萨兰国,Brunéi Darussalam,Brunei Darussalam,Бруней-Даруссалам ,بروني دار السلام,09ce441a-3dbe-4b9a-93cd-c3bbb65f5ada
Eswatini,2020-03-16,"1","0","40672",31.4971888,-26.56211674,Eswatini,斯威士兰,Eswatini,Eswatini,Эсватини,إسواتيني,0db619c7-b3b4-43c6-a665-c620b61291ad
